Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
24.315,25.663,24.278,23.981,23.552,25.011,24.351,22.924,20.266,20.916,20.447,21.526,20.368,20.382,20.738,19.534,20.323,24.606,20.747,24.22,20.458,21.801,20.541,20.68,19.228,26.055,20.169,25.715,18.644,21.418,17.053,19.475,20.762,25.768,22.464,28.76,20.451,21.496,17.805,18.57,29.696,33.56,30.504,37.239,28.206,28.732,25.014,27.058,32.705,35.753,32.956,39.284,30.536,30.839,27.476,28.649,24.259,20.522,21.672,20.97,22.009,30.001,32.275,23.036,20.397,23.078,24.161,24.739,34.289,37.486,Crunch
23.11,24.615,23.2,22.495,22.648,24.228,23.614,22.251,20.273,20.927,20.436,21.482,20.398,20.468,20.768,19.548,20.219,24.801,20.69,23.965,20.311,21.837,20.162,20.259,19.847,26.118,20.682,26.002,19.064,21.548,17.25,19.669,21.27,26.18,22.942,29.081,20.875,21.732,17.996,19.071,29.97,33.645,30.684,37.383,28.353,28.751,25.197,27.277,32.026,35.425,32.381,39.03,29.979,30.401,26.792,28.305,23.27,20.537,21.531,21.273,22.393,30.157,31.792,22.599,20.458,22.98,24.183,25.06,34.481,37.178,Crunch
21.844,23.358,21.949,21.204,21.476,23.117,22.687,21.486,19.964,20.432,19.987,20.999,19.887,19.953,20.209,19.1,19.756,24.938,20.282,23.069,19.682,21.63,19.203,18.986,20.379,26.207,21.075,26.119,19.364,21.645,17.319,19.685,21.713,26.655,23.374,29.328,21.222,21.991,18.163,19.387,30.079,33.797,30.782,37.344,28.49,28.855,25.38,27.477,31.88,35.278,32.314,39.024,29.964,30.34,26.828,28.44,22.14,20.066,20.943,21.474,22.729,30.276,31.759,22.214,20.281,22.616,24.205,25.338,34.557,37.064,Crunch
21.544,23.054,21.638,20.978,21.213,22.846,22.526,21.395,19.751,20.202,19.692,20.817,19.545,19.534,19.841,18.81,19.124,25.053,19.679,21.986,18.707,21.271,17.611,17.02,20.573,26.275,21.209,25.909,19.385,21.716,17.094,19.328,21.627,26.801,23.317,29.229,21.124,21.935,17.993,19.142,29.962,33.815,30.632,37.035,28.356,28.802,25.265,27.287,31.609,34.958,32.187,39.11,29.805,30.031,26.654,28.469,21.899,19.774,20.056,21.436,22.646,30.144,31.603,22.141,20.316,22.254,24.108,25.445,34.449,36.946,Crunch
21.532,22.999,21.612,21.055,21.189,22.808,22.529,21.453,19.118,19.774,18.976,19.959,18.709,18.722,19.043,18.228,18.621,25.116,19.175,21.408,17.941,20.956,16.237,15.442,20.663,26.293,21.257,25.655,19.356,21.792,16.918,18.993,21.539,26.725,23.253,29.261,20.991,21.717,17.806,19.003,29.49,33.682,30.144,36.348,27.873,28.545,24.824,26.666,30.77,34.451,31.311,38.373,29.003,29.507,26.056,27.66,21.897,19.066,19.362,21.366,22.537,29.697,30.891,22.166,20.199,22.131,24.002,25.441,34.023,36.381,Crunch
21.74,23.065,21.689,21.098,21.265,22.873,22.537,21.47,18.806,19.885,18.657,19.443,18.286,18.599,18.674,17.694,18.553,25.202,19.101,21.543,17.772,20.847,15.87,15.026,20.72,26.276,21.293,25.468,19.327,21.86,16.777,18.759,21.324,26.565,23.136,29.317,20.812,21.462,17.564,18.807,29.441,33.64,30.083,36.218,27.81,28.475,24.771,26.603,30.693,34.344,31.234,38.221,28.953,29.529,26.015,27.59,21.967,18.756,19.239,21.31,22.373,29.63,30.822,22.182,20.178,22.263,23.92,25.402,33.921,36.21,Crunch
22.369,23.356,22.016,21.29,21.583,23.042,22.592,21.6,18.403,19.871,18.31,18.843,17.851,18.364,18.443,17.411,18.457,25.333,18.983,21.479,17.484,20.799,15.274,14.751,20.647,26.283,21.235,25.03,19.199,21.939,16.453,18.494,21.063,26.367,22.98,29.353,20.608,21.24,17.254,18.658,29.347,33.573,29.976,36.181,27.704,28.379,24.628,26.569,30.721,34.485,31.309,38.241,29.007,29.618,25.919,27.701,22.231,18.437,19.07,21.16,22.19,29.545,30.875,22.259,19.986,22.395,23.718,25.341,33.943,36.255,Crunch
23.258,23.994,22.686,21.837,22.132,23.354,22.839,21.902,18.174,19.861,18.039,18.564,17.64,18.174,18.233,17.297,18.495,25.46,19.012,21.636,17.437,20.923,15.126,14.701,20.619,26.291,21.226,24.567,19.118,22.076,16.152,18.287,20.9,26.348,22.895,29.342,20.475,21.26,16.972,18.538,29.317,33.118,29.823,36.224,27.536,27.944,24.436,26.572,30.785,34.172,31.306,38.213,28.993,29.438,25.887,27.723,22.75,18.248,19.099,21.042,22.091,29.371,30.815,22.411,19.951,22.564,23.438,25.306,33.758,36.047,Crunch
23.827,24.6,23.253,22.211,22.589,23.724,23.052,22.144,17.981,19.846,17.805,18.396,17.347,17.894,17.988,17.132,18.232,25.518,18.826,21.613,17.31,20.993,15.108,14.387,20.613,26.25,21.224,24.55,19.097,22.138,16.093,18.301,20.785,26.365,22.788,29.304,20.288,21.286,16.422,18.464,29.533,32.886,30.052,36.53,27.833,27.809,24.794,26.93,30.728,33.689,31.271,38.191,28.929,28.92,25.69,27.822,23.175,18.049,18.999,21.033,21.963,29.546,30.655,22.592,19.888,22.615,23.368,25.271,33.57,35.656,Crunch
24.186,25.075,23.666,22.498,22.858,23.929,23.081,22.27,16.888,19.68,16.692,17.729,16.479,17.29,16.814,16.838,17.705,25.53,18.419,21.507,17.02,20.941,14.814,14.02,20.608,26.085,21.173,24.63,19.097,22.096,16.238,18.342,20.701,26.302,22.65,29.246,20.098,21.216,15.946,18.367,29.497,32.522,30.008,36.491,27.861,27.638,24.924,27.038,30.747,33.726,31.205,37.842,28.845,28.938,25.551,27.66,23.445,17.301,18.744,21.033,21.816,29.497,30.564,22.786,19.579,22.619,23.29,25.23,33.282,35.408,Crunch
