Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
28.013,23.28,22.34,20.591,19.309,19.545,17.808,15.709,23.344,18.46,17.486,15.376,13.533,14.037,12.161,10.29,19.829,18.213,17.707,17.385,16.014,15.763,14.966,13.756,18.221,17.978,18.184,17.975,17.616,18.147,18.751,15.008,11.216,10.499,10.737,10.763,9.691,10.733,13.201,8.819,13.62,12.094,11.893,12.022,11.829,12.844,15.574,11.856,12.46,12.036,12.323,12.219,12.805,14.185,16.837,12.388,20.824,15.586,16.704,17.735,10.707,12.716,13.157,21.641,17.936,14.82,12.464,7.014,12.392,11.66,Blink
28.053,23.09,22.185,20.245,19.0,19.114,17.636,15.08,23.23,18.391,17.444,15.34,13.558,14.05,11.993,10.378,19.904,18.355,17.823,17.467,16.076,15.87,15.024,13.812,18.135,17.839,18.067,17.841,17.449,17.848,18.447,14.991,11.299,10.613,10.809,10.763,9.896,10.906,13.489,9.18,13.462,11.711,11.64,11.866,11.58,12.819,15.553,11.76,12.353,11.936,12.133,11.966,12.71,14.232,16.927,12.431,20.55,15.548,16.791,17.577,10.87,12.549,13.086,21.569,17.822,14.829,12.382,7.433,12.342,11.585,Blink
28.071,22.934,22.105,20.128,18.86,19.001,17.676,15.225,23.065,18.303,17.398,15.277,13.514,14.045,12.14,10.424,19.993,18.525,17.973,17.553,16.149,16.069,15.097,13.84,18.102,17.791,18.012,17.749,17.355,17.649,18.231,15.001,11.385,10.64,10.833,10.703,10.001,11.048,13.622,9.482,13.426,11.798,11.737,11.934,11.744,13.134,15.747,11.919,12.289,11.769,11.966,11.687,12.61,14.103,16.921,12.411,20.5,15.521,16.9,17.486,10.964,12.68,12.969,21.573,17.739,14.878,12.329,7.728,12.391,11.524,Blink
28.16,22.957,22.172,20.256,18.902,19.139,17.84,15.976,22.967,18.254,17.356,15.244,13.486,14.118,12.15,10.57,20.018,18.602,18.011,17.533,16.147,16.196,15.049,13.849,18.072,17.791,17.992,17.722,17.306,17.531,18.143,15.004,11.415,10.626,10.831,10.652,10.086,11.116,13.642,9.68,13.463,11.844,11.799,11.948,11.917,13.191,16.024,12.229,12.148,11.813,11.977,11.669,12.702,14.17,17.061,12.527,20.675,15.518,16.926,17.445,11.006,12.802,13.008,21.701,17.701,14.932,12.303,7.804,12.529,11.525,Blink
28.053,22.865,22.077,20.177,18.827,19.107,17.91,16.271,22.862,18.306,17.427,15.307,13.651,14.242,12.212,11.011,19.838,18.534,17.873,17.36,16.055,16.233,14.927,13.887,18.059,17.833,17.985,17.701,17.258,17.437,18.11,15.001,11.462,10.607,10.791,10.516,10.043,11.099,13.549,9.773,13.463,11.941,11.813,11.844,11.923,13.205,15.967,12.177,12.101,11.768,11.863,11.502,12.495,14.111,17.003,12.392,20.661,15.627,16.838,17.423,10.98,12.792,12.904,21.643,17.598,14.798,12.318,7.872,12.51,11.429,Blink
27.934,22.751,21.953,20.018,18.743,18.987,17.824,16.235,21.966,17.573,16.624,14.445,12.867,13.471,11.912,10.535,19.578,18.423,17.696,17.155,15.907,16.233,14.745,13.972,18.064,17.91,17.995,17.694,17.239,17.39,18.15,15.056,11.635,10.739,10.854,10.421,10.136,11.22,13.574,9.983,13.302,11.914,11.766,11.845,11.919,13.18,15.91,12.152,12.006,11.665,11.661,11.271,12.355,14.039,16.963,12.303,20.555,14.924,16.714,17.437,11.07,12.749,12.783,21.587,17.006,14.538,12.309,7.952,12.354,11.345,Blink
28.2,23.018,22.169,20.161,19.197,19.288,17.948,16.5,21.874,17.476,16.519,14.412,12.769,13.481,11.64,10.457,19.469,18.348,17.559,16.987,15.728,16.178,14.595,14.105,18.078,18.006,18.023,17.716,17.252,17.388,18.234,15.167,11.67,10.779,10.855,10.353,10.211,11.349,13.588,9.989,13.247,11.892,11.748,11.79,11.886,13.077,15.833,12.119,12.013,11.676,11.709,11.293,12.425,14.083,17.0,12.315,20.81,14.828,16.621,17.483,11.099,12.699,12.814,21.787,16.928,14.466,12.188,8.046,12.219,11.338,Blink
29.015,23.856,22.954,20.977,20.4,20.205,18.703,17.47,21.575,17.154,16.254,14.273,12.36,12.986,11.497,10.088,19.519,18.34,17.483,16.849,15.662,16.216,14.736,14.328,18.082,18.056,18.035,17.739,17.253,17.383,18.303,15.303,11.693,10.788,10.849,10.341,10.234,11.387,13.583,9.956,13.254,11.878,11.738,11.774,11.85,12.98,15.782,12.071,12.051,11.713,11.72,11.279,12.453,14.121,17.023,12.303,21.698,14.523,16.641,17.519,11.104,12.666,12.833,22.374,16.836,14.481,12.211,8.134,12.133,11.348,Blink
29.807,24.757,23.97,22.211,21.712,21.263,19.723,18.72,21.864,17.329,16.253,14.254,12.598,13.061,11.807,9.872,19.439,18.305,17.399,16.696,15.642,16.309,14.86,14.51,18.038,18.047,18.004,17.732,17.236,17.369,18.336,15.424,11.553,10.651,10.721,10.177,10.162,11.337,13.517,9.9,12.981,11.726,11.501,11.561,11.74,12.917,15.719,11.835,11.974,11.693,11.703,11.313,12.464,14.12,16.992,12.378,22.771,14.63,16.645,17.523,11.002,12.497,12.83,22.995,17.017,14.465,12.232,8.125,11.959,11.322,Blink
30.115,25.133,24.511,22.948,22.318,21.818,20.26,19.469,22.297,17.819,16.906,14.992,13.396,13.361,12.284,9.978,19.496,18.322,17.416,16.689,15.662,16.346,14.816,14.613,17.858,17.924,17.851,17.618,17.129,17.258,18.278,15.46,11.268,10.404,10.467,9.902,9.99,11.2,13.354,9.839,13.051,11.832,11.625,11.703,11.951,13.153,15.84,11.849,11.608,11.61,11.563,11.117,12.407,13.996,16.822,12.339,23.322,15.129,16.67,17.422,10.803,12.625,12.683,23.301,17.423,14.633,12.175,8.021,11.923,11.063,Blink
30.069,25.114,24.594,23.142,22.486,22.02,20.627,19.929,22.523,18.19,17.052,15.017,13.996,13.772,13.209,9.605,19.385,18.285,17.401,16.719,15.716,16.331,14.875,14.66,17.577,17.729,17.602,17.425,16.945,17.05,18.132,15.398,10.368,9.655,9.649,9.153,9.449,10.746,12.965,9.666,12.544,11.454,11.254,11.542,11.964,13.3,15.919,11.803,11.653,11.659,11.631,11.259,12.521,14.149,16.834,12.435,23.498,15.421,16.671,17.232,10.206,12.473,12.768,23.304,17.662,14.66,12.038,7.796,11.705,10.956,Blink
29.9,24.885,24.4,22.999,22.396,22.035,20.849,20.171,22.349,18.242,17.045,14.974,14.367,13.962,13.319,9.667,19.318,18.331,17.459,16.768,15.899,16.337,15.059,14.683,17.417,17.652,17.454,17.326,16.828,16.897,18.001,15.352,9.41,8.967,8.793,8.337,8.944,10.265,12.655,9.463,12.425,11.435,11.281,11.618,12.082,13.527,16.176,11.763,11.801,11.85,11.747,11.244,12.63,14.298,16.923,12.493,23.455,15.49,16.732,17.116,9.604,12.538,12.873,23.247,17.326,14.67,11.945,7.556,11.525,10.982,Blink
29.818,24.752,24.257,22.874,22.29,22.073,20.878,20.247,22.177,18.035,16.872,14.875,14.234,14.032,13.558,9.726,19.446,18.43,17.588,16.863,16.11,16.339,15.178,14.703,17.265,17.6,17.336,17.269,16.692,16.762,17.825,15.26,9.337,8.943,8.711,8.358,9.003,10.33,12.709,9.591,13.134,12.034,11.772,11.946,12.434,13.99,16.529,11.925,11.683,11.7,11.603,11.191,12.541,14.256,16.895,12.463,23.399,15.439,16.832,17.001,9.623,12.97,12.792,23.342,17.286,14.674,11.908,7.612,11.615,10.857,Blink
29.831,24.775,24.251,22.872,22.274,22.117,20.86,20.279,22.227,18.323,17.005,14.923,14.328,14.438,13.098,9.551,19.725,18.546,17.766,17.01,16.348,16.378,15.321,14.858,16.957,17.382,17.06,17.096,16.368,16.443,17.454,15.053,10.343,9.76,9.466,9.166,9.485,10.866,12.919,9.817,13.406,12.053,11.761,11.766,12.361,13.977,16.543,11.852,11.785,11.627,11.565,11.025,12.469,14.26,16.822,12.443,23.407,15.486,16.994,16.726,10.228,12.965,12.75,23.394,17.348,14.701,11.867,8.008,11.666,10.875,Blink
