Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
27.143,21.249,20.653,18.209,18.202,17.938,18.949,16.202,26.7,22.918,22.756,21.905,21.649,21.478,22.453,20.155,21.08,20.887,21.12,20.933,21.389,21.109,22.008,18.685,18.946,18.149,18.605,18.606,18.202,18.23,18.625,15.032,12.045,11.555,11.702,11.816,11.628,12.508,13.156,10.574,16.471,14.607,15.217,15.113,14.363,14.551,15.286,11.106,17.946,18.134,18.255,18.02,17.227,18.158,18.652,13.726,19.818,22.502,20.901,18.049,11.873,14.59,17.515,21.727,21.341,14.426,10.369,6.239,10.381,11.564,Blink
27.158,21.226,20.668,18.319,18.295,18.213,19.126,16.726,26.635,22.891,22.723,21.806,21.545,21.426,22.408,20.086,21.008,20.818,21.042,20.872,21.349,21.064,21.955,18.644,18.93,18.038,18.508,18.49,18.096,18.087,18.541,15.01,12.096,11.637,11.785,11.87,11.699,12.51,13.179,10.62,16.552,14.769,15.345,15.219,14.552,14.801,15.647,11.388,17.923,18.101,18.221,17.999,17.196,18.143,18.656,13.728,19.967,22.44,20.844,17.963,11.925,14.784,17.496,21.954,21.384,14.533,10.361,6.169,10.55,11.64,Blink
27.54,21.896,21.435,19.503,19.148,19.357,19.59,17.66,26.576,22.882,22.709,21.784,21.507,21.432,22.376,20.029,20.851,20.701,20.917,20.759,21.268,20.969,21.851,18.488,18.968,18.011,18.498,18.476,18.082,18.05,18.567,15.043,12.075,11.632,11.832,11.892,11.727,12.494,13.161,10.6,16.532,14.756,15.327,15.2,14.513,14.773,15.647,11.346,17.83,17.998,18.113,17.866,17.077,18.07,18.586,13.656,20.766,22.412,20.726,17.962,11.927,14.762,17.399,22.273,21.369,14.641,10.356,6.102,10.753,11.731,Blink
28.319,22.92,22.502,20.735,19.953,20.306,19.926,18.237,26.323,22.893,22.765,21.77,21.49,21.431,22.313,19.834,20.714,20.579,20.781,20.622,21.13,20.817,21.617,18.198,19.023,18.029,18.528,18.504,18.112,18.079,18.633,15.065,12.159,11.657,11.911,11.954,11.77,12.536,13.194,10.564,16.528,14.771,15.324,15.196,14.521,14.779,15.683,11.352,17.772,17.915,18.032,17.774,16.999,18.031,18.557,13.551,21.612,22.352,20.557,17.997,11.968,14.769,17.329,22.875,21.36,14.568,10.275,6.091,10.936,11.787,Blink
29.135,23.839,23.333,21.531,20.43,20.879,20.091,18.517,26.301,22.926,22.806,21.811,21.539,21.494,22.265,19.819,20.651,20.49,20.683,20.52,20.994,20.689,21.386,17.954,19.056,18.049,18.549,18.524,18.146,18.113,18.677,15.055,12.184,11.645,11.919,11.94,11.77,12.561,13.203,10.526,16.449,14.731,15.282,15.167,14.516,14.796,15.706,11.337,17.759,17.879,17.993,17.739,16.949,17.978,18.497,13.514,22.219,22.37,20.421,18.021,11.969,14.748,17.289,23.61,21.201,14.328,10.083,6.123,11.088,11.78,Blink
29.717,24.541,23.911,22.051,20.805,21.351,20.188,18.733,26.218,22.984,22.889,21.912,21.642,21.615,22.295,19.835,20.641,20.451,20.63,20.457,20.908,20.621,21.244,17.77,19.065,18.065,18.555,18.524,18.182,18.133,18.71,15.051,12.303,11.7,11.992,11.977,11.804,12.595,13.228,10.487,16.361,14.708,15.263,15.148,14.478,14.749,15.626,11.312,17.713,17.822,17.914,17.691,16.846,17.827,18.282,13.433,22.662,22.424,20.34,18.036,12.011,14.706,17.191,24.134,21.143,14.122,9.975,6.125,11.062,11.743,Blink
30.042,24.882,24.17,22.311,20.874,21.482,19.873,18.714,25.589,22.521,22.475,21.501,21.423,21.426,22.283,19.778,20.516,20.342,20.519,20.321,20.763,20.449,20.996,17.436,19.059,18.043,18.503,18.45,18.175,18.1,18.705,15.049,12.397,11.766,12.061,11.992,11.809,12.556,13.199,10.434,16.062,14.364,14.938,14.827,14.285,14.657,15.669,11.385,17.313,17.32,17.413,17.206,16.442,17.404,17.954,13.399,22.794,22.124,20.168,18.01,12.027,14.523,16.806,24.27,20.585,13.898,9.94,6.113,10.922,11.494,Blink
30.059,24.802,24.036,22.149,20.532,21.143,19.344,18.189,25.562,22.409,22.349,21.393,21.273,21.301,22.118,19.734,19.961,19.822,20.013,19.773,20.223,19.839,20.32,16.546,19.023,17.967,18.397,18.33,18.092,18.009,18.629,14.983,12.486,11.873,12.154,11.993,11.809,12.478,13.126,10.402,15.981,14.229,14.787,14.605,14.23,14.609,15.753,11.491,16.533,16.225,16.387,16.233,15.397,16.501,17.244,12.568,22.532,22.017,19.562,17.929,12.04,14.461,15.886,24.212,20.392,13.647,9.935,6.011,10.768,11.049,Blink
30.088,24.906,24.139,22.254,20.59,21.197,19.325,18.266,24.62,21.521,21.469,20.376,20.454,20.515,21.668,18.834,19.45,18.892,19.061,18.775,19.219,18.698,19.09,15.32,18.914,17.775,18.198,18.15,17.917,17.853,18.515,14.849,12.563,11.981,12.221,11.984,11.86,12.502,13.103,10.405,15.667,13.726,14.297,14.073,13.861,14.284,15.65,11.172,15.634,15.258,15.43,15.221,14.517,15.721,16.726,12.077,22.596,21.182,18.563,17.771,12.077,14.091,15.073,24.236,19.982,13.243,10.031,5.984,10.576,10.737,Blink
30.332,25.219,24.469,22.536,20.702,21.418,18.952,18.223,25.009,21.986,21.819,20.716,20.579,20.705,21.419,19.031,19.464,18.414,18.524,18.147,18.618,17.965,18.275,14.529,18.631,17.392,17.812,17.801,17.579,17.527,18.249,14.558,12.468,11.903,12.068,11.721,11.717,12.351,12.888,10.252,15.618,13.536,14.186,13.971,13.776,14.147,15.47,10.966,15.33,14.965,15.147,14.92,14.308,15.514,16.579,11.966,22.731,21.408,17.992,17.443,11.921,13.959,14.841,24.348,19.715,13.17,10.104,5.9,10.48,10.563,Blink
30.382,25.268,24.498,22.518,20.536,21.394,18.632,17.779,25.183,21.924,21.717,20.39,20.127,20.308,20.718,18.062,20.122,18.647,18.642,18.07,18.57,17.918,18.052,14.294,18.252,16.924,17.34,17.37,17.163,17.093,17.847,14.118,12.122,11.487,11.57,11.159,11.296,12.013,12.546,9.977,15.7,13.606,14.293,14.145,13.884,14.206,15.503,11.093,15.168,14.682,14.873,14.648,13.999,15.362,16.521,11.774,22.626,21.054,18.039,17.013,11.521,14.054,14.628,24.378,19.79,13.554,10.099,5.696,10.444,10.638,Blink
30.324,25.239,24.442,22.459,20.467,21.366,18.622,17.66,25.1,22.09,21.798,20.474,20.277,20.496,20.8,18.345,20.491,18.764,18.674,18.005,18.464,17.842,17.882,14.199,17.804,16.501,16.894,16.945,16.751,16.625,17.345,13.568,11.983,11.021,11.139,10.696,10.831,11.536,12.029,9.549,14.914,13.158,13.67,13.498,13.343,13.742,15.083,10.884,14.776,14.267,14.438,14.197,13.581,15.008,16.309,11.524,22.572,21.172,18.04,16.554,11.098,13.536,14.262,24.323,19.582,13.721,10.026,5.417,10.036,10.504,Blink
30.322,25.24,24.454,22.476,20.423,21.368,18.299,17.691,25.848,22.61,22.289,20.933,20.507,20.762,20.54,18.523,20.543,18.534,18.364,17.612,17.999,17.384,17.384,13.754,17.273,16.052,16.433,16.515,16.273,16.059,16.759,12.913,11.393,10.388,10.545,9.963,10.02,10.708,11.04,8.774,12.308,10.871,10.986,10.749,10.748,11.406,13.282,9.023,12.235,11.196,11.236,11.073,10.933,12.498,14.519,10.086,22.534,21.501,17.697,16.035,10.354,11.172,11.722,24.236,19.82,13.745,9.741,4.93,8.785,9.171,Blink
30.461,25.418,24.66,22.779,20.757,21.681,18.609,18.288,25.643,22.291,21.918,20.378,19.847,20.173,19.663,17.737,20.485,18.138,17.844,16.979,17.294,16.753,16.649,13.127,16.481,15.332,15.7,15.804,15.468,15.217,15.943,11.995,10.83,9.859,10.02,9.284,9.271,9.885,10.29,8.182,10.957,9.211,9.312,9.186,9.128,10.03,12.432,8.305,11.621,10.573,10.609,10.408,10.672,12.233,14.577,10.05,22.831,20.956,17.159,15.242,9.703,9.82,11.343,24.3,19.828,13.68,9.328,4.446,8.167,8.818,Blink
30.69,25.733,25.008,23.253,21.267,22.085,19.031,18.962,26.339,22.665,22.233,20.679,19.855,20.275,19.129,18.051,20.293,17.624,17.191,16.107,16.413,15.923,15.604,12.087,15.593,14.513,14.813,14.87,14.431,14.293,14.991,10.905,10.065,9.361,9.555,8.696,8.628,9.058,9.987,7.693,11.082,9.244,9.394,9.299,9.266,10.255,12.874,8.671,10.322,8.702,8.789,8.549,9.276,10.944,13.905,9.336,23.254,21.153,16.405,14.301,9.13,10.011,9.978,24.515,20.102,13.494,8.917,4.052,8.291,8.342,Blink
30.746,25.844,25.107,23.449,21.461,22.288,19.272,19.279,26.662,22.791,22.381,20.702,19.611,19.94,17.945,17.385,19.917,16.834,16.197,14.698,15.066,14.553,13.966,10.746,14.984,13.954,14.106,14.019,13.527,13.637,14.116,9.905,9.711,9.246,9.477,8.596,8.558,8.881,10.139,7.696,11.117,9.464,9.63,9.653,9.51,10.387,12.933,8.944,10.369,8.587,8.742,8.518,9.214,10.873,13.854,9.172,23.431,20.927,15.247,13.531,9.038,10.205,9.916,24.503,20.463,13.176,8.516,3.868,8.16,8.43,Blink
30.742,25.84,25.078,23.452,21.468,22.351,19.365,19.357,26.773,22.77,22.334,20.688,19.494,19.908,17.748,17.42,19.618,16.294,15.382,13.469,13.862,13.469,12.695,9.934,14.757,13.785,13.802,13.518,13.153,13.499,13.792,9.497,9.837,9.4,9.701,8.84,8.845,9.054,10.505,8.05,11.046,9.544,9.701,9.742,9.57,10.465,12.922,8.893,10.48,8.772,8.858,8.527,9.154,10.7,13.596,8.918,23.457,20.892,14.34,13.225,9.279,10.235,9.876,24.442,20.378,12.749,8.275,3.755,8.002,8.308,Blink
30.728,25.835,25.081,23.461,21.468,22.35,19.363,19.356,27.023,22.819,22.403,20.712,19.366,19.724,16.971,17.234,19.705,16.403,15.404,13.369,13.716,13.47,12.642,9.895,14.77,13.822,13.774,13.382,13.142,13.559,13.784,9.58,9.954,9.547,9.823,8.957,8.954,9.182,10.6,8.144,11.416,10.006,10.209,9.968,10.185,11.006,13.407,9.482,10.221,8.805,8.811,8.57,9.248,10.63,13.577,8.886,23.455,20.782,14.326,13.226,9.395,10.71,9.843,24.466,20.667,12.789,8.198,3.618,8.118,8.047,Blink
30.654,25.805,25.054,23.453,21.445,22.344,19.367,19.355,27.053,22.845,22.457,20.841,19.434,19.734,17.002,17.24,19.966,16.75,15.786,13.818,14.043,13.853,12.972,10.251,14.941,13.891,13.835,13.413,13.204,13.609,13.786,9.682,9.986,9.567,9.787,8.898,8.813,9.129,10.428,7.883,12.002,10.557,10.766,10.244,10.657,11.482,13.929,10.046,9.922,8.637,8.53,8.374,9.071,10.644,13.73,8.856,23.435,20.826,14.68,13.295,9.311,11.21,9.721,24.435,20.677,13.087,8.276,3.558,8.422,8.043,Blink
30.637,25.788,25.032,23.459,21.406,22.347,19.36,19.388,27.294,23.002,22.634,21.076,19.617,19.835,16.974,17.435,20.488,17.273,16.427,14.631,14.668,14.397,13.473,10.632,15.051,13.926,13.862,13.422,13.216,13.614,13.751,9.718,10.109,9.623,9.778,8.842,8.719,9.126,10.261,7.441,12.242,10.87,11.049,10.368,10.799,11.561,13.971,10.053,9.972,8.64,8.54,8.418,9.037,10.63,13.674,8.832,23.427,20.983,15.249,13.32,9.237,11.364,9.718,24.469,20.847,13.574,8.4,3.587,8.536,7.988,Blink
30.631,25.768,25.013,23.462,21.414,22.397,19.56,19.65,27.838,23.418,23.093,21.607,20.066,20.166,17.176,17.675,21.075,17.877,17.149,15.625,15.486,15.172,14.148,11.366,14.999,13.85,13.785,13.337,13.147,13.535,13.693,9.69,10.205,9.645,9.751,8.785,8.596,9.163,10.209,7.081,12.427,11.167,11.297,10.56,11.003,11.726,14.117,10.198,10.041,8.746,8.611,8.476,9.107,10.774,13.74,8.772,23.487,21.38,15.987,13.254,9.179,11.562,9.783,24.512,21.36,14.007,8.515,3.589,8.657,7.983,Blink
30.668,25.797,25.059,23.537,21.516,22.514,19.77,19.962,27.913,23.517,23.183,21.727,20.253,20.346,17.432,18.045,21.24,18.079,17.37,15.995,15.754,15.537,14.382,11.626,14.922,13.81,13.752,13.304,13.115,13.448,13.642,9.717,10.164,9.558,9.626,8.649,8.466,9.201,10.232,6.595,12.59,11.493,11.556,10.766,11.337,11.922,14.364,10.536,10.075,8.8,8.695,8.529,9.132,10.811,13.679,8.856,23.603,21.552,16.248,13.214,9.061,11.821,9.822,24.482,21.411,14.13,8.679,3.646,8.722,7.893,Blink
30.698,25.853,25.138,23.617,21.584,22.595,19.783,20.03,28.198,23.679,23.384,21.967,20.49,20.487,17.607,18.315,21.257,18.186,17.43,16.137,15.844,15.787,14.667,11.74,14.838,13.887,13.781,13.299,13.136,13.435,13.642,9.764,10.095,9.507,9.558,8.574,8.461,9.203,10.275,6.338,12.762,11.743,11.872,11.108,11.657,12.127,14.563,10.906,10.214,8.78,8.696,8.627,9.102,10.717,13.578,8.796,23.663,21.766,16.381,13.223,9.001,12.092,9.814,24.49,21.615,14.13,8.862,3.535,8.83,7.961,Blink
30.385,25.742,25.042,23.498,21.498,22.519,19.656,19.968,28.302,23.648,23.375,21.995,20.484,20.473,17.626,18.362,21.246,18.373,17.561,16.329,16.062,16.19,15.13,12.015,14.801,14.007,13.821,13.276,13.132,13.442,13.588,9.623,10.15,9.534,9.521,8.498,8.475,9.2,10.261,6.06,12.779,11.679,11.864,11.129,11.658,12.106,14.549,10.939,10.359,8.964,8.797,8.729,9.344,10.924,13.881,9.136,23.538,21.783,16.613,13.211,8.962,12.088,10.017,24.345,21.729,14.155,9.079,3.581,9.119,8.129,Blink
29.834,25.421,24.743,23.25,21.365,22.373,19.572,20.004,28.33,23.65,23.383,22.005,20.498,20.469,17.627,18.439,21.533,18.695,17.853,16.579,16.345,16.589,15.429,12.259,14.678,14.009,13.744,13.154,13.025,13.405,13.454,9.348,10.287,9.487,9.497,8.461,8.312,9.116,10.108,5.543,12.813,11.669,11.739,10.992,11.727,12.311,14.981,11.343,10.052,8.635,8.354,8.268,9.238,11.064,14.223,9.394,23.32,21.8,16.91,13.102,8.851,12.197,9.904,23.852,21.754,14.409,9.157,3.842,9.727,8.377,Blink
29.487,25.176,24.543,23.156,21.378,22.365,19.602,20.033,28.658,23.682,23.444,22.132,20.523,20.438,17.597,18.468,21.648,18.795,17.928,16.589,16.407,16.663,15.488,12.282,14.567,13.993,13.648,13.039,12.887,13.366,13.324,9.0,10.298,9.38,9.433,8.446,8.147,9.068,10.044,5.343,12.618,11.377,11.392,10.647,11.42,12.149,15.001,11.398,9.989,8.566,8.244,8.132,9.143,11.006,14.162,9.381,23.218,21.868,16.975,12.978,8.77,12.0,9.828,23.264,21.985,14.547,9.233,3.951,10.059,8.34,Blink
29.469,25.154,24.518,23.114,21.311,22.25,19.432,19.762,28.722,23.649,23.438,22.189,20.521,20.428,17.609,18.508,21.715,18.831,17.985,16.654,16.455,16.623,15.569,12.414,14.434,13.947,13.553,12.999,12.736,13.306,13.197,8.673,10.156,9.193,9.274,8.321,7.969,8.985,9.986,5.289,12.411,11.057,11.12,10.41,11.192,11.877,14.79,11.35,10.192,8.863,8.715,8.641,9.557,11.211,14.44,9.654,23.126,21.883,17.031,12.856,8.647,11.776,10.159,23.078,22.022,14.646,9.279,3.956,9.996,8.418,Blink
29.353,24.943,24.245,22.745,20.835,21.7,18.943,19.193,28.852,23.627,23.442,22.262,20.473,20.3,17.521,18.575,21.851,18.927,18.148,16.857,16.62,16.697,15.842,12.794,14.344,13.9,13.488,13.054,12.637,13.276,13.23,8.769,10.024,9.094,9.161,8.176,7.885,8.942,9.948,5.332,12.374,11.017,11.139,10.425,11.489,12.335,15.15,11.597,10.601,9.238,9.228,9.273,10.106,11.556,14.852,10.324,22.745,21.882,17.217,12.837,8.57,11.941,10.647,23.105,22.159,14.78,9.316,3.919,9.97,8.537,Blink
28.877,24.437,23.707,22.164,20.274,21.059,18.527,18.724,28.918,23.509,23.316,22.193,20.322,20.18,17.452,18.507,22.054,19.083,18.359,17.08,16.808,16.847,16.106,13.068,14.411,13.924,13.511,13.179,12.633,13.307,13.34,9.138,9.825,8.995,9.009,7.948,7.784,8.869,9.885,5.455,12.427,11.003,11.182,10.395,11.584,12.497,15.203,11.69,10.488,8.937,9.009,9.174,9.885,11.209,14.685,10.334,22.221,21.8,17.426,12.931,8.471,11.998,10.465,22.823,22.239,15.024,9.358,3.837,10.012,8.459,Blink
28.008,23.588,22.936,21.483,19.72,20.439,18.2,18.45,28.948,23.562,23.339,22.184,20.271,20.182,17.205,18.416,22.268,19.251,18.557,17.313,16.998,17.011,16.298,13.39,14.618,14.019,13.615,13.316,12.677,13.377,13.449,9.457,9.706,8.934,8.937,7.86,7.757,8.82,9.892,5.551,12.537,11.059,11.247,10.484,11.616,12.489,15.197,11.827,10.304,8.837,8.811,8.969,9.799,11.162,14.659,10.326,21.603,21.763,17.636,13.066,8.432,12.057,10.358,22.013,22.433,15.323,9.422,3.778,10.004,8.458,Blink
27.144,22.71,22.205,20.895,19.192,19.887,17.841,18.211,29.178,23.719,23.453,22.287,20.271,20.264,17.068,18.368,22.454,19.391,18.763,17.629,17.192,17.118,16.462,13.755,14.694,14.01,13.634,13.357,12.631,13.35,13.453,9.642,9.479,8.801,8.747,7.672,7.628,8.695,9.788,5.574,12.586,11.07,11.247,10.538,11.644,12.456,15.172,11.851,10.449,9.08,9.211,9.358,10.097,11.408,14.758,10.464,21.011,21.826,17.846,13.096,8.298,12.071,10.603,21.201,22.655,15.532,9.406,3.668,9.889,8.367,Blink
26.48,22.055,21.701,20.455,18.772,19.359,17.4,18.024,29.474,24.031,23.706,22.472,20.435,20.566,17.052,18.355,22.776,19.67,19.103,18.054,17.423,17.337,16.592,14.128,14.565,13.81,13.476,13.272,12.359,13.116,13.231,9.626,9.327,8.617,8.556,7.504,7.358,8.512,9.62,5.527,12.716,11.122,11.459,10.774,11.716,12.295,15.098,11.817,10.467,9.203,9.413,9.412,10.105,11.299,14.578,10.262,20.531,22.011,18.135,12.932,8.127,12.125,10.592,20.669,23.16,15.836,9.287,3.648,9.827,8.273,Blink
26.402,21.939,21.646,20.387,18.725,19.179,17.142,18.022,29.469,23.994,23.66,22.383,20.343,20.438,16.812,18.253,22.893,19.801,19.265,18.294,17.492,17.445,16.562,14.361,14.475,13.647,13.374,13.238,12.124,12.864,12.978,9.558,9.161,8.267,8.214,7.226,6.904,8.197,9.416,5.39,12.567,11.061,11.448,10.814,11.641,12.165,14.96,11.804,10.4,9.234,9.463,9.409,10.162,11.209,14.405,10.29,20.43,21.919,18.264,12.782,7.847,12.057,10.571,20.596,23.17,15.969,9.184,3.625,9.815,8.195,Blink
26.354,21.754,21.485,20.258,18.7,19.076,17.053,17.899,29.671,24.122,23.757,22.432,20.367,20.524,16.589,18.193,22.847,19.78,19.271,18.377,17.437,17.438,16.439,14.451,14.47,13.693,13.455,13.317,12.105,12.788,12.866,9.552,9.051,7.886,7.901,6.95,6.557,7.923,9.307,5.393,12.59,11.244,11.589,10.956,11.756,12.188,14.94,11.902,10.822,9.279,9.567,9.505,9.994,10.783,14.039,10.317,20.322,21.957,18.255,12.781,7.621,12.146,10.538,20.545,23.397,16.013,9.094,3.587,9.796,8.123,Blink
25.722,21.002,20.754,19.696,18.251,18.53,16.635,17.619,29.53,23.851,23.546,22.211,20.037,20.137,15.982,17.679,22.72,19.629,19.13,18.331,17.245,17.29,16.286,14.42,14.428,13.79,13.574,13.412,12.241,12.826,12.925,9.647,9.015,7.542,7.675,6.795,6.456,7.721,9.222,5.528,12.489,11.132,11.456,10.778,11.656,12.162,14.919,11.841,11.112,9.424,9.78,9.675,9.959,10.726,13.977,10.225,19.776,21.622,18.132,12.856,7.494,12.054,10.61,19.956,23.333,15.982,9.009,3.616,9.828,8.105,Blink
25.689,20.944,20.694,19.745,18.296,18.33,16.34,17.672,29.429,23.605,23.312,22.039,19.682,19.794,15.34,17.466,22.402,19.215,18.738,18.111,16.788,16.876,15.973,14.176,14.29,13.811,13.616,13.438,12.414,12.815,13.106,9.714,9.006,7.543,7.691,6.891,6.823,7.67,9.226,6.222,12.333,10.95,11.196,10.378,11.401,12.051,14.878,11.784,11.177,9.534,9.89,9.781,9.971,10.625,13.782,10.184,19.714,21.333,17.785,12.9,7.634,11.871,10.618,19.892,23.179,15.878,8.972,3.826,9.785,7.934,Blink
25.962,21.315,21.047,20.105,18.651,18.44,16.252,17.707,29.589,23.676,23.436,22.212,19.694,19.75,14.93,17.144,22.236,18.961,18.529,18.005,16.575,16.659,15.877,14.161,13.96,13.682,13.493,13.296,12.489,12.666,13.317,9.721,8.781,7.526,7.552,6.763,6.82,7.424,9.071,6.785,12.376,10.957,11.267,10.479,11.422,12.096,14.927,11.865,11.078,9.581,9.924,9.838,10.069,10.728,13.788,10.237,19.935,21.304,17.625,12.828,7.59,11.924,10.655,20.255,23.331,15.922,8.912,3.898,9.87,7.807,Blink
25.991,21.41,21.106,20.15,18.705,18.325,15.935,17.444,29.3,23.251,23.016,21.776,19.132,19.151,13.746,16.561,22.18,18.931,18.51,17.992,16.642,16.695,15.998,14.36,13.57,13.507,13.274,13.008,12.472,12.479,13.455,9.645,8.543,7.338,7.273,6.455,6.593,7.015,8.778,6.952,12.381,10.996,11.364,10.636,11.5,12.128,14.964,11.946,10.892,9.676,9.93,9.831,10.063,10.785,13.798,10.205,19.883,20.742,17.663,12.676,7.369,11.989,10.648,20.296,23.12,15.924,8.963,3.791,10.011,7.924,Blink
25.668,20.984,20.698,19.641,18.164,17.679,15.055,16.49,29.362,23.233,23.007,21.764,19.068,19.063,13.579,16.256,22.148,18.974,18.549,18.011,16.752,16.784,16.147,14.687,13.398,13.511,13.171,12.797,12.519,12.45,13.494,9.595,8.315,7.114,7.015,6.224,6.398,6.718,8.485,7.031,12.512,11.282,11.557,10.734,11.565,12.157,14.91,11.933,10.697,9.464,9.795,9.779,9.85,10.542,13.573,10.114,19.297,20.666,17.756,12.617,7.163,12.081,10.477,20.121,23.11,15.861,9.066,3.613,10.102,7.702,Blink
24.973,20.163,19.945,18.754,17.486,16.969,14.319,15.396,29.169,22.923,22.74,21.477,18.666,18.644,12.82,15.447,22.179,19.057,18.627,18.085,16.868,16.895,16.278,15.028,13.29,13.514,13.077,12.675,12.537,12.478,13.499,9.68,8.141,6.932,6.707,5.959,6.225,6.507,7.896,6.897,12.981,11.821,11.893,11.028,11.989,12.564,14.998,12.202,10.881,9.629,9.879,9.873,10.039,10.592,13.601,10.539,18.501,20.236,17.877,12.594,6.908,12.434,10.629,19.701,23.017,15.786,9.137,3.511,10.29,7.724,Blink
24.619,19.617,19.473,18.228,17.328,16.687,14.592,14.969,29.009,22.731,22.534,21.295,18.553,18.577,12.894,15.344,22.197,19.056,18.638,18.15,16.91,16.976,16.317,15.26,13.172,13.423,12.92,12.499,12.403,12.372,13.355,9.688,8.031,6.78,6.485,5.73,6.254,6.632,7.801,6.64,13.243,12.243,12.12,11.213,12.387,13.2,15.526,12.445,10.849,9.649,9.883,9.855,10.198,10.856,13.946,10.819,18.189,20.117,17.938,12.479,6.794,12.797,10.757,19.558,22.762,15.673,9.133,3.552,10.607,8.126,Blink
24.739,19.468,19.377,18.109,17.267,16.49,14.61,14.96,29.079,22.693,22.515,21.265,18.467,18.47,13.4,15.192,22.151,18.969,18.574,18.133,16.876,16.953,16.309,15.349,13.028,13.279,12.73,12.291,12.198,12.242,13.185,9.777,7.665,6.309,5.889,5.121,6.047,6.58,7.682,6.3,13.217,12.313,12.115,11.18,12.392,13.21,15.55,12.439,10.733,9.573,9.877,9.927,10.32,10.997,14.121,10.901,18.128,20.135,17.914,12.341,6.449,12.802,10.806,19.74,22.89,15.691,9.067,3.633,10.633,8.226,Blink
24.721,19.467,19.351,18.07,17.262,16.482,14.641,15.05,29.131,22.831,22.674,21.401,18.654,18.639,13.55,15.217,22.092,18.857,18.49,18.081,16.805,16.851,16.286,15.333,12.998,13.332,12.796,12.348,12.331,12.484,13.442,10.345,7.881,6.645,6.318,5.72,7.029,7.677,8.9,6.912,12.83,12.147,11.864,11.031,12.206,12.997,15.303,12.38,10.435,9.195,9.542,9.671,10.102,10.948,14.192,10.753,18.13,20.262,17.85,12.51,7.135,12.595,10.605,19.743,22.969,15.729,9.081,4.146,10.549,8.264,Blink
24.799,19.485,19.376,18.117,17.252,16.453,14.606,15.102,29.077,22.717,22.537,21.235,18.53,18.589,13.906,15.189,21.954,18.684,18.346,17.981,16.673,16.677,16.223,15.244,12.874,13.573,13.073,12.662,12.738,13.014,14.098,11.085,8.286,7.635,7.445,7.07,8.418,8.867,10.01,8.119,12.225,11.754,11.381,10.723,11.85,12.682,14.909,12.087,10.464,9.414,9.68,9.81,10.232,11.105,14.166,10.725,18.149,20.222,17.723,12.89,8.231,12.201,10.7,19.733,22.917,15.608,9.095,4.667,10.334,8.27,Blink
24.834,19.533,19.404,18.161,17.231,16.476,14.461,15.028,29.155,22.715,22.567,21.2,18.428,18.471,13.92,14.904,21.628,18.364,17.995,17.663,16.323,16.395,15.994,15.114,13.111,14.098,13.673,13.331,13.446,13.789,15.017,11.86,8.442,8.204,8.176,7.967,9.249,9.612,10.852,8.935,12.029,11.479,11.198,10.678,11.817,12.693,14.967,12.126,10.644,9.782,10.056,10.104,10.565,11.367,14.296,11.019,18.141,20.17,17.434,13.54,8.93,12.123,10.979,19.673,23.041,15.315,9.189,4.992,10.241,8.372,Blink
24.818,19.532,19.392,18.144,17.193,16.279,13.648,14.197,28.9,22.456,22.251,20.801,18.062,18.295,13.918,14.576,21.179,17.907,17.464,17.083,15.735,15.886,15.551,14.819,13.777,14.787,14.432,14.112,14.248,14.499,15.801,12.561,8.583,8.695,8.833,8.743,9.976,10.311,11.634,9.717,11.846,11.202,11.025,10.571,11.743,12.637,14.839,12.08,10.612,9.78,10.109,10.203,10.576,11.29,14.201,10.972,17.9,19.907,16.953,14.277,9.561,11.993,10.968,19.464,22.844,15.012,9.343,5.331,10.175,8.422,Blink
24.876,19.415,19.273,18.008,17.035,15.77,12.856,12.831,28.965,22.425,22.262,20.787,17.897,18.078,13.432,13.875,21.044,17.743,17.267,16.786,15.476,15.594,15.281,14.68,14.309,15.298,14.988,14.671,14.842,14.919,16.272,12.993,8.558,8.848,9.054,9.003,10.18,10.522,11.896,10.014,11.593,10.842,10.749,10.375,11.538,12.523,14.664,11.864,10.667,9.801,10.193,10.294,10.571,11.24,14.23,10.878,17.508,19.715,16.734,14.786,9.759,11.769,10.984,19.377,22.827,14.938,9.432,5.424,10.139,8.598,Blink
