693235.562,632920.000,-14783.534,-297695.125,451054.031,530635.812,750000.062,722052.688,-0.053,0.987,-0.078,0.000,0.000,0.000,60.000,1.000,1.000
513853.750,355825.469,-137124.297,-292928.656,478374.031,380104.656,750000.062,551199.062,-0.057,1.002,-0.085,0.000,0.000,0.000,60.000,2.000,1.000
419337.969,286471.938,-61473.559,263236.156,750000.062,408715.719,575535.562,550713.812,-0.056,1.007,-0.087,0.000,0.000,0.000,60.000,3.000,1.000
372904.625,322323.438,-283125.625,388794.656,750000.062,402680.188,455572.375,678977.125,-0.058,1.007,-0.093,0.000,0.000,0.000,60.000,4.000,1.000
571944.438,371926.438,-356449.812,411044.031,682409.438,253044.641,-235140.266,750000.062,-0.059,1.011,-0.096,0.702,-0.946,1.129,60.000,5.000,1.000
704356.688,418121.406,59142.629,559830.125,640931.188,322601.938,-261017.344,750000.062,-0.063,1.012,-0.098,1.007,-1.770,-0.336,60.000,6.000,1.000
-602551.000,653344.750,452596.562,687542.938,750000.062,750000.062,750000.062,750000.062,-0.069,1.012,-0.099,0.305,-1.190,-2.289,60.000,7.000,1.000
-666302.312,750000.062,608258.562,750000.062,750000.062,750000.062,750000.062,750000.062,-0.072,1.014,-0.095,0.153,-0.977,-3.021,60.000,8.000,1.000
609839.938,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.073,1.016,-0.096,0.092,-1.068,-3.357,60.000,9.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.074,1.017,-0.090,-0.092,-1.068,-3.387,60.000,10.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.076,1.018,-0.090,-0.305,-1.190,-3.571,60.000,11.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,707835.250,-0.078,1.018,-0.089,-0.488,-1.434,-3.479,60.000,12.000,1.000
658811.438,682850.188,750000.062,750000.062,715985.750,690369.125,750000.062,586280.000,-0.076,1.018,-0.090,-0.580,-1.709,-3.387,60.000,13.000,1.000
555084.438,575420.125,750000.062,750000.062,603356.688,581618.625,634277.000,493983.219,-0.076,1.012,-0.093,-0.671,-1.892,-3.387,60.000,14.000,1.000
472708.844,490265.688,673771.188,706452.250,514012.719,495281.250,540354.250,420571.875,-0.077,1.010,-0.094,-0.641,-2.014,-3.387,60.000,15.000,1.000
414159.344,429475.812,589557.062,618163.250,449956.000,433539.375,472991.188,368256.000,-0.079,1.010,-0.099,-0.580,-2.167,-3.296,60.000,16.000,1.000
389972.062,404505.531,554653.375,581467.500,423524.531,408120.438,445073.156,346690.312,-0.078,1.013,-0.099,-0.458,-2.258,-3.357,60.000,17.000,1.000
376561.094,390519.062,535383.562,561236.125,408892.625,394093.375,429696.562,334817.875,-0.076,1.014,-0.096,-0.519,-2.472,-3.113,60.000,18.000,1.000
364325.312,377956.312,518069.031,543104.562,395721.562,381380.156,415886.688,324017.531,-0.075,1.015,-0.093,-0.488,-2.655,-2.899,60.000,19.000,1.000
353290.781,366536.156,502343.594,526614.000,383756.312,369815.094,403322.938,314096.031,-0.073,1.015,-0.095,-0.549,-2.625,-2.808,60.000,20.000,1.000
343208.562,356108.812,487935.750,511516.375,372798.500,359288.406,391814.375,305079.250,-0.074,1.015,-0.095,-0.519,-2.686,-2.594,60.000,21.000,1.000
333959.844,346577.312,474745.250,497632.469,362752.469,349636.812,381221.625,296870.156,-0.076,1.013,-0.097,-0.549,-2.777,-2.533,60.000,22.000,1.000
325459.750,337716.906,462608.000,484926.562,353493.938,340704.781,371489.750,289421.406,-0.083,1.011,-0.093,-0.488,-2.960,-2.502,60.000,23.000,1.000
317587.375,329603.219,451406.188,473192.438,344961.906,332497.875,362537.969,282489.688,-0.084,1.009,-0.095,-0.580,-3.021,-2.441,60.000,24.000,1.000
310296.844,322034.219,441026.219,462320.562,337077.188,324892.812,354249.969,275965.375,-0.086,1.008,-0.095,-0.488,-3.387,-2.472,60.000,25.000,1.000
303555.938,315027.188,431408.531,452250.188,329769.531,317826.250,346540.312,269897.156,-0.085,1.010,-0.093,-0.549,-3.601,-2.411,60.000,26.000,1.000
297341.344,308579.438,422525.875,442948.219,323007.125,311297.500,339416.000,264388.250,-0.087,1.010,-0.095,-0.519,-3.845,-2.380,60.000,27.000,1.000
291590.062,302646.469,414296.562,434312.125,316734.594,305248.750,332823.219,259360.172,-0.090,1.007,-0.094,-0.427,-4.059,-2.258,60.000,28.000,1.000
286156.344,296968.062,406564.938,426209.688,310857.969,299608.969,326675.594,254600.422,-0.091,1.005,-0.093,-0.366,-4.303,-2.258,60.000,29.000,1.000
281136.938,291766.625,399382.594,418688.969,305413.438,294369.188,320960.156,250073.203,-0.093,1.006,-0.093,-0.397,-4.517,-2.411,60.000,30.000,1.000
276440.938,286881.000,392672.594,411652.625,300325.906,289478.812,315609.594,245837.641,-0.093,1.007,-0.094,-0.336,-4.791,-2.411,60.000,31.000,1.000
272060.094,282371.469,386409.656,405075.156,295555.688,284874.438,310563.125,241951.656,-0.089,1.007,-0.093,-0.244,-5.005,-2.411,60.000,32.000,1.000
267961.562,278123.844,380548.312,398937.875,291083.125,280558.750,305847.688,238378.062,-0.088,1.005,-0.092,-0.153,-5.310,-2.319,60.000,33.000,1.000
264061.562,273962.125,374988.625,393123.844,286850.312,276463.375,301432.344,234967.547,-0.087,1.005,-0.092,-0.183,-5.402,-2.258,60.000,34.000,1.000
