Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
14.729,16.999,17.358,14.666,18.031,17.933,17.273,16.992,12.641,13.525,15.184,14.058,14.076,11.309,10.407,10.527,4.038,3.359,3.644,5.637,4.883,8.85,8.961,7.613,4.407,4.735,3.268,3.393,4.115,6.422,7.228,4.348,1.406,3.052,1.387,0.036,2.067,4.834,4.561,2.171,6.01,7.278,6.781,6.675,8.654,9.598,10.507,9.096,8.901,8.942,8.531,8.092,8.802,10.189,10.212,8.727,16.748,12.716,5.873,4.739,2.439,8.075,9.049,14.587,11.765,7.238,3.814,1.23,6.798,4.011,relaxed
15.089,17.294,17.552,14.822,18.101,17.917,17.194,16.93,12.609,13.354,15.014,13.89,13.842,11.231,10.208,10.52,4.601,3.818,3.477,5.097,4.678,8.827,8.891,7.313,4.293,4.632,3.14,3.165,4.126,6.642,7.229,4.372,2.198,3.78,2.122,0.578,3.203,5.55,5.226,2.74,5.887,7.222,6.8,6.607,8.587,9.424,10.378,8.981,8.845,9.014,8.65,8.217,8.937,10.168,10.304,8.915,16.862,12.584,5.838,4.7,3.175,7.986,9.131,14.729,11.86,7.271,3.79,1.484,6.691,3.99,relaxed
15.301,17.432,17.6,14.891,18.103,17.87,17.175,16.904,12.501,13.316,14.989,13.851,13.82,11.559,10.324,10.603,5.637,4.263,3.586,4.949,4.594,8.631,8.747,7.083,4.545,4.809,3.428,2.785,4.457,7.016,7.335,4.536,2.522,4.045,2.447,0.818,3.659,5.701,5.435,3.009,5.928,7.482,6.812,6.557,8.701,9.72,10.477,8.938,8.772,8.938,8.546,8.141,8.86,10.052,10.117,8.825,16.909,12.62,5.936,4.864,3.455,8.077,9.031,14.699,11.974,7.321,3.836,1.602,6.708,3.936,relaxed
15.312,17.422,17.59,14.894,18.085,17.796,17.186,16.896,12.487,13.332,15.01,13.838,13.833,11.652,10.464,10.869,6.761,4.845,4.356,5.27,5.017,8.296,8.599,6.994,4.835,5.306,4.006,2.478,5.142,7.537,7.583,4.833,2.577,4.001,2.479,0.801,3.653,5.667,5.399,3.003,6.373,8.109,7.321,6.711,9.121,10.126,10.684,9.029,9.044,9.23,8.794,8.227,9.053,10.109,10.156,8.833,16.898,12.686,6.267,5.215,3.447,8.434,9.181,14.612,12.06,7.376,4.024,1.6,6.696,3.994,relaxed
15.262,17.436,17.604,14.892,18.112,17.771,17.188,16.892,12.673,13.373,15.089,13.87,13.803,11.708,10.435,10.916,7.269,5.145,4.853,5.486,5.394,8.078,8.493,6.915,5.03,5.929,4.479,1.984,5.841,7.977,7.848,5.11,2.534,4.011,2.504,0.957,3.705,5.823,5.428,3.024,6.442,8.065,7.303,6.509,8.934,9.802,10.387,8.757,8.957,9.185,8.71,8.049,8.818,9.938,9.917,8.405,16.895,12.733,6.454,5.525,3.498,8.275,8.998,14.536,12.15,7.389,4.28,1.59,6.528,3.911,relaxed
15.245,17.46,17.601,14.885,18.137,17.799,17.184,16.894,12.326,13.307,14.993,13.822,13.825,12.046,10.861,11.175,7.485,5.189,4.931,5.641,5.554,8.001,8.413,6.87,4.983,6.416,4.744,1.486,6.381,8.348,8.145,5.351,2.486,4.066,2.483,1.31,3.776,6.001,5.546,3.145,6.671,8.169,7.396,6.67,8.868,9.838,10.359,8.655,8.88,9.148,8.72,7.931,8.753,9.691,9.651,8.291,16.901,12.795,6.51,5.732,3.602,8.328,8.883,14.565,12.134,7.426,4.435,1.669,6.512,3.81,relaxed
15.262,17.458,17.573,14.784,18.138,17.793,17.246,16.928,12.33,13.275,14.965,13.798,13.766,12.187,11.188,11.339,7.572,5.124,4.869,5.813,5.702,7.914,8.334,6.855,4.887,6.821,5.011,1.541,6.787,8.723,8.519,5.685,2.489,4.076,2.389,1.444,3.835,6.209,5.724,3.19,6.928,8.397,7.844,7.295,9.041,9.905,10.428,8.82,8.977,9.307,9.015,8.139,9.006,9.81,9.737,8.413,16.898,12.856,6.523,5.997,3.669,8.582,9.05,14.482,12.334,7.419,4.544,1.649,6.589,3.922,relaxed
15.296,17.469,17.6,14.761,18.162,17.743,17.36,16.997,11.779,12.999,14.498,13.286,13.34,12.199,11.534,11.137,7.58,5.109,4.864,6.085,5.799,7.728,8.117,6.868,4.736,6.995,5.084,1.971,6.93,8.998,8.783,6.022,2.712,4.419,2.635,1.505,4.177,6.451,6.041,3.185,7.474,8.652,8.286,7.742,9.239,9.984,10.59,8.953,8.366,8.77,8.539,7.782,8.595,9.539,9.54,8.103,16.923,12.596,6.519,6.19,3.89,8.865,8.654,14.297,12.215,7.217,4.64,1.592,6.67,3.923,relaxed
15.285,17.322,17.365,14.56,17.806,17.379,17.011,16.554,11.393,12.869,14.325,13.06,13.361,12.626,12.368,11.57,7.645,5.159,4.959,6.169,5.794,7.509,7.777,6.556,4.732,7.124,5.229,2.58,7.0,9.21,8.905,6.279,2.809,4.487,2.686,1.439,4.302,6.467,6.079,3.086,8.258,8.854,8.722,8.165,9.55,10.319,10.875,9.13,8.485,8.788,8.686,7.825,8.659,9.649,9.516,8.03,16.66,12.697,6.446,6.382,3.919,9.234,8.705,13.916,12.531,6.965,4.626,1.441,6.649,3.928,relaxed
14.95,16.852,16.551,13.865,16.885,16.664,16.244,15.432,10.951,12.56,13.777,12.373,12.726,12.462,12.203,11.094,7.724,5.225,5.061,6.174,5.765,7.341,7.523,6.281,4.954,7.234,5.475,3.145,7.048,9.297,8.909,6.452,2.938,4.462,2.705,1.291,4.349,6.475,6.087,2.958,8.376,8.776,8.727,8.297,9.538,10.473,10.875,9.152,8.531,8.837,8.694,7.727,8.585,9.682,9.483,7.78,15.93,12.268,6.387,6.564,3.908,9.277,8.665,13.333,12.348,6.799,4.485,1.253,6.545,3.968,relaxed
