Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
13.788,13.381,14.395,13.374,14.756,15.234,15.61,14.623,10.416,7.754,8.731,7.825,7.815,8.237,7.056,8.206,8.609,5.88,6.912,9.507,6.26,9.462,6.532,8.498,9.94,8.017,9.23,8.521,7.187,9.293,8.418,7.358,5.146,6.099,5.489,4.21,4.738,5.892,5.179,4.074,10.91,9.818,10.551,9.262,8.198,10.116,9.22,7.786,9.813,9.57,9.603,8.715,8.769,10.139,9.623,8.385,14.395,8.255,7.708,8.495,5.103,9.483,9.327,13.06,7.43,8.558,6.777,2.758,7.274,4.984,relaxed
13.806,13.513,14.423,13.366,14.811,15.244,15.574,14.581,10.548,8.002,8.837,7.894,7.889,8.157,6.978,7.827,8.845,5.858,6.911,9.352,6.234,9.457,6.514,9.047,9.929,7.869,9.124,8.308,6.976,9.292,8.222,7.305,6.298,6.931,6.525,4.882,5.553,6.121,5.371,4.284,11.191,10.102,10.878,9.483,8.435,10.19,9.317,7.886,9.765,9.577,9.543,8.594,8.741,10.18,9.603,8.271,14.415,8.267,7.777,8.378,5.746,9.685,9.284,12.935,7.362,8.823,6.913,3.16,7.513,4.875,relaxed
13.82,13.767,14.477,13.298,14.87,15.409,15.625,14.596,10.553,7.985,8.96,7.933,7.82,7.448,6.516,7.618,9.027,5.905,6.969,9.173,6.238,9.535,6.509,9.372,9.869,7.768,9.009,8.118,6.881,9.232,8.13,7.308,7.056,7.583,7.274,5.342,6.106,6.259,5.495,4.421,11.128,10.048,10.786,9.312,8.427,10.188,9.335,7.89,9.56,9.493,9.375,8.448,8.746,10.293,9.679,8.293,14.483,8.104,7.841,8.289,6.192,9.639,9.236,12.905,7.038,8.946,6.933,3.44,7.363,4.722,relaxed
13.815,13.885,14.467,13.166,14.877,15.626,15.747,14.599,10.534,7.947,8.982,7.958,7.805,7.299,6.282,7.255,9.339,6.073,7.159,8.991,6.297,9.746,6.496,9.378,9.855,7.762,8.996,8.064,7.004,9.255,8.207,7.502,7.529,7.917,7.757,5.764,6.429,6.336,5.529,4.569,11.24,10.237,10.84,9.329,8.633,10.282,9.45,8.044,9.803,9.761,9.675,8.786,9.017,10.475,9.77,8.456,14.523,8.008,7.935,8.331,6.479,9.757,9.468,12.876,6.768,9.027,6.964,3.605,7.261,4.741,relaxed
13.814,13.83,14.459,13.101,14.873,15.725,15.866,14.635,10.531,7.911,8.862,7.936,7.926,7.146,6.275,7.239,9.645,6.221,7.379,8.754,6.346,9.984,6.382,9.2,9.873,7.801,9.027,8.101,7.237,9.383,8.326,7.755,7.637,7.915,7.853,5.836,6.467,6.303,5.6,4.737,11.784,10.968,11.488,9.885,9.591,10.839,10.098,8.691,10.482,10.4,10.553,9.499,9.657,10.79,10.09,8.795,14.538,7.978,7.989,8.438,6.544,10.418,10.033,12.816,6.716,9.104,7.019,3.622,7.356,5.01,relaxed
13.797,13.501,14.385,13.095,14.721,15.487,15.796,14.641,10.543,7.781,8.795,8.038,7.917,7.076,6.262,7.352,9.882,6.305,7.599,8.708,6.64,10.255,6.408,9.083,9.899,7.79,9.039,8.2,7.442,9.528,8.368,7.913,7.756,7.983,8.024,5.95,6.466,6.258,5.521,4.733,11.994,11.125,11.843,10.3,10.065,11.014,10.45,8.998,10.486,10.459,10.658,9.675,9.808,10.71,10.02,8.769,14.428,7.97,8.11,8.522,6.586,10.724,10.073,12.693,6.708,9.168,7.105,3.619,7.37,4.85,relaxed
13.63,12.682,14.035,12.927,14.255,14.837,15.417,14.433,10.529,7.699,8.696,7.975,7.937,7.029,6.221,7.408,9.965,6.37,7.773,9.004,6.972,10.34,6.375,9.051,9.891,7.736,9.026,8.423,7.684,9.706,8.468,8.077,7.683,7.962,8.036,5.979,6.393,6.051,5.151,4.543,11.914,11.06,11.814,10.139,10.056,10.909,10.383,8.979,10.51,10.417,10.644,9.675,9.785,10.658,9.939,8.72,14.027,7.937,8.231,8.626,6.475,10.657,10.044,12.418,6.771,9.255,7.214,3.51,7.161,4.603,relaxed
13.527,11.8,13.698,12.62,13.639,14.047,14.929,14.037,10.249,7.265,8.215,7.858,7.723,6.914,5.83,7.19,9.965,6.36,7.837,9.297,7.04,10.252,6.315,8.995,9.824,7.727,9.025,8.715,7.917,9.967,8.743,8.366,7.659,7.938,8.124,6.107,6.379,5.923,4.849,4.376,11.969,11.103,11.849,10.026,10.185,11.04,10.485,9.021,10.516,10.395,10.614,9.513,9.703,10.598,9.743,8.392,13.537,7.656,8.258,8.785,6.42,10.71,9.934,12.117,6.723,9.326,7.356,3.315,7.144,4.31,relaxed
13.574,11.531,13.643,12.472,13.313,13.641,14.761,13.891,10.18,7.103,8.13,7.802,7.683,6.796,5.468,6.754,9.865,6.342,7.883,9.48,7.0,10.133,6.32,8.92,9.745,7.644,9.002,8.931,8.012,10.265,9.04,8.614,7.55,7.85,8.031,5.905,6.254,5.84,4.696,4.256,12.224,11.386,12.103,10.177,10.437,11.12,10.627,9.149,10.669,10.548,10.748,9.46,9.738,10.635,9.708,8.306,13.353,7.49,8.243,8.907,6.298,10.903,9.977,11.929,6.629,9.253,7.559,3.134,7.049,4.249,relaxed
13.589,11.602,13.646,12.464,13.311,13.713,14.781,13.889,10.096,6.926,7.977,7.826,7.66,6.768,4.974,6.281,9.748,6.39,8.036,9.664,6.98,10.052,6.33,8.857,9.667,7.556,8.963,9.011,7.991,10.568,9.292,8.789,7.527,7.767,8.018,5.77,6.404,6.312,5.284,4.613,12.224,11.481,12.154,10.158,10.486,11.115,10.586,9.163,10.723,10.569,10.852,9.537,9.785,10.622,9.702,8.321,13.374,7.314,8.257,8.98,6.462,10.921,10.014,11.907,6.439,9.126,7.738,3.09,6.765,4.277,relaxed
13.639,11.73,13.627,12.433,13.351,13.797,14.799,13.893,9.945,6.243,7.703,7.816,7.415,6.584,4.411,5.608,9.7,6.642,8.391,9.974,7.22,10.056,6.423,8.8,9.603,7.586,8.959,9.012,7.97,10.799,9.555,8.984,7.463,7.7,7.98,5.698,6.51,6.735,5.59,4.776,12.234,11.469,12.146,10.155,10.517,11.165,10.632,9.289,10.644,10.579,10.788,9.511,9.81,10.643,9.744,8.377,13.409,6.966,8.401,9.058,6.557,10.951,10.012,11.944,6.275,8.979,7.823,3.146,6.895,4.428,relaxed
13.634,11.769,13.617,12.395,13.363,13.669,14.79,13.906,10.33,6.566,8.031,8.216,7.648,6.748,4.776,5.764,9.817,6.985,8.814,10.282,7.681,10.168,6.768,8.807,9.503,7.736,9.032,9.08,8.126,11.047,9.926,9.316,7.398,7.602,7.908,5.646,6.582,6.912,5.764,5.02,12.218,11.458,12.112,10.211,10.477,11.121,10.595,9.31,10.473,10.497,10.613,9.551,9.721,10.606,9.733,8.268,13.393,7.26,8.665,9.221,6.604,10.938,9.933,11.911,6.347,8.909,7.83,3.138,7.08,4.458,relaxed
13.46,11.74,13.566,12.468,13.425,13.563,14.805,13.916,10.479,6.372,8.059,8.257,7.863,6.969,5.198,5.823,10.212,7.457,9.277,10.541,8.207,10.402,7.311,8.855,9.364,7.919,9.14,9.204,8.375,11.285,10.296,9.642,7.34,7.555,7.872,5.638,6.635,7.023,5.828,5.317,12.219,11.447,12.091,10.336,10.454,11.11,10.596,9.299,10.184,10.223,10.376,9.461,9.515,10.44,9.576,8.031,13.368,7.377,9.033,9.403,6.651,10.944,9.726,11.629,6.593,9.001,7.801,3.071,7.199,4.418,relaxed
13.13,11.757,13.427,12.574,13.514,13.592,14.848,13.941,10.658,6.282,7.839,8.151,7.839,7.064,5.22,5.532,10.584,8.013,9.757,10.824,8.931,10.8,8.199,9.061,9.213,8.058,9.192,9.232,8.528,11.437,10.495,9.748,7.291,7.505,7.86,5.706,6.692,7.082,5.906,5.63,12.272,11.333,12.091,10.536,10.429,11.025,10.566,9.354,10.122,10.107,10.254,9.467,9.391,10.293,9.447,7.955,13.348,7.323,9.521,9.488,6.709,10.951,9.629,11.103,6.724,9.147,7.698,3.101,7.366,4.442,relaxed
12.898,11.891,13.33,12.606,13.646,13.777,14.909,13.987,10.697,6.232,7.818,8.1,7.977,7.126,5.321,5.606,10.665,8.317,9.918,10.931,9.47,11.115,9.011,9.282,8.954,8.117,9.144,9.126,8.582,11.513,10.561,9.684,7.261,7.435,7.837,5.772,6.728,7.133,5.96,5.837,12.456,11.147,12.075,10.792,10.343,10.943,10.42,9.249,10.42,10.076,10.368,9.629,9.265,9.873,9.273,7.921,13.381,7.359,9.839,9.46,6.745,10.928,9.603,10.684,6.865,9.345,7.505,3.048,7.675,4.428,relaxed
13.332,12.414,13.75,12.982,13.989,14.026,14.936,13.989,10.688,5.667,7.5,7.604,7.514,6.451,4.774,5.404,10.563,8.127,9.672,10.723,9.397,11.071,9.184,9.177,8.48,8.039,8.926,8.892,8.548,11.546,10.585,9.554,7.159,7.28,7.736,5.818,6.764,7.264,6.111,6.078,13.03,11.309,12.409,11.539,10.561,11.058,10.565,9.47,10.765,10.277,10.643,9.962,9.545,10.013,9.526,8.331,13.677,6.95,9.739,9.321,6.776,11.243,9.883,10.672,6.742,9.482,7.304,3.205,8.218,4.545,relaxed
13.564,12.744,13.93,13.069,14.011,14.169,14.741,13.593,10.136,5.457,7.21,7.376,7.473,6.2,4.65,5.382,10.436,7.626,9.204,10.248,8.88,10.792,8.863,8.795,8.146,8.004,8.788,8.742,8.543,11.59,10.589,9.438,7.4,7.285,7.933,6.48,7.019,7.619,6.551,6.466,13.617,11.536,12.785,12.063,10.809,11.297,10.826,9.615,10.686,10.086,10.485,9.88,9.345,9.711,9.414,8.343,13.728,6.736,9.356,9.23,7.094,11.568,9.744,10.572,6.495,9.581,7.173,3.516,8.691,4.537,relaxed
13.701,12.817,13.727,12.699,13.562,14.199,14.281,12.697,9.88,4.84,6.659,6.799,6.49,4.661,3.739,4.713,10.103,7.069,8.71,9.721,8.368,10.515,8.61,8.548,7.888,7.791,8.571,8.606,8.389,11.557,10.414,9.267,7.702,7.56,8.227,7.087,7.459,8.265,7.373,7.037,13.916,11.804,13.004,12.37,11.038,11.577,11.121,9.817,10.76,10.178,10.633,9.977,9.479,9.746,9.421,8.487,13.46,5.972,8.955,9.06,7.589,11.831,9.835,10.348,6.3,9.65,7.108,3.996,8.804,4.568,relaxed
13.617,12.677,13.327,12.137,12.949,14.071,13.808,11.798,9.701,4.828,6.659,6.784,6.288,4.535,3.609,4.465,9.941,6.863,8.52,9.496,8.189,10.379,8.578,8.478,7.628,7.446,8.229,8.34,8.074,11.418,10.085,9.024,7.947,7.742,8.494,7.829,7.879,8.824,8.176,7.682,14.04,11.914,13.064,12.415,10.994,11.524,11.123,9.77,10.912,10.331,10.782,10.063,9.594,9.774,9.4,8.58,13.048,5.859,8.806,8.781,8.072,11.856,9.93,10.231,6.09,9.722,7.089,4.445,8.988,4.819,relaxed
13.245,12.473,12.946,11.841,12.667,14.044,13.686,11.562,9.928,4.797,6.801,6.901,6.227,4.309,3.693,4.51,10.167,7.0,8.663,9.58,8.214,10.205,8.645,8.515,7.283,7.102,7.79,8.028,7.769,11.263,9.8,8.844,8.064,7.775,8.59,8.157,8.036,9.164,8.566,7.985,14.028,11.813,13.021,12.388,10.932,11.469,11.093,9.71,11.044,10.59,11.014,10.213,9.862,9.934,9.516,8.674,12.808,5.896,8.874,8.485,8.292,11.807,10.106,10.215,6.149,9.78,7.041,4.892,9.171,5.0,relaxed
13.576,12.665,13.185,12.312,13.096,14.29,13.964,11.777,9.225,4.646,6.533,6.805,6.155,4.231,3.966,4.611,10.289,7.167,8.775,9.651,8.206,9.717,8.676,8.561,6.911,6.813,7.354,7.763,7.554,11.066,9.549,8.722,8.158,7.834,8.707,8.428,8.233,9.535,8.871,8.246,14.052,11.825,13.04,12.367,10.95,11.422,11.068,9.688,11.132,10.644,11.123,10.291,9.943,9.962,9.59,8.739,13.108,5.772,8.88,8.216,8.501,11.802,10.178,10.273,6.054,9.723,6.955,5.275,9.355,5.053,relaxed
14.29,13.102,13.624,12.746,13.391,14.414,13.948,11.469,9.613,5.114,6.783,6.968,6.461,4.702,4.396,4.702,10.306,7.384,8.798,9.704,8.208,9.176,8.737,8.65,6.804,6.693,7.198,7.657,7.484,10.821,9.404,8.682,8.151,7.85,8.744,8.521,8.322,9.723,8.991,8.345,14.041,11.782,12.951,12.277,10.849,11.361,10.886,9.498,11.099,10.526,11.004,10.243,9.822,9.88,9.533,8.671,13.373,6.093,8.87,8.093,8.581,11.706,10.097,10.393,6.101,9.56,6.881,5.435,9.399,4.909,relaxed
14.421,13.129,13.556,12.308,12.921,14.005,13.063,9.79,9.403,5.799,6.835,6.892,6.35,4.806,4.366,4.771,10.247,7.453,8.772,9.775,8.177,8.82,8.778,8.71,6.794,6.667,7.171,7.637,7.476,10.586,9.393,8.698,8.14,7.865,8.723,8.586,8.399,9.886,9.114,8.461,13.914,11.767,12.741,12.117,10.752,11.327,10.746,9.323,11.256,10.834,11.274,10.473,10.235,10.264,10.06,9.17,12.899,6.153,8.841,8.053,8.647,11.586,10.446,10.262,6.037,9.374,6.786,5.604,9.375,4.924,relaxed
14.238,12.906,13.356,11.822,12.41,13.417,11.87,8.219,9.526,5.53,6.53,6.507,5.894,4.586,4.183,3.912,10.278,7.418,8.841,9.89,8.153,8.653,8.812,8.661,6.747,6.509,7.066,7.643,7.397,10.481,9.441,8.629,8.123,7.796,8.677,8.567,8.331,9.886,9.112,8.426,14.009,11.908,12.864,12.096,10.906,11.358,10.908,9.3,11.423,11.077,11.483,10.588,10.584,10.706,10.55,9.528,12.28,5.833,8.838,7.989,8.615,11.669,10.742,10.114,6.002,9.251,6.67,5.61,9.406,5.094,relaxed
14.21,12.946,13.337,11.789,12.369,13.149,11.278,8.032,9.792,5.499,6.655,6.604,5.861,4.636,4.252,3.287,10.313,7.388,8.928,10.026,8.175,8.592,8.883,8.491,6.467,6.22,6.777,7.557,7.221,10.36,9.465,8.444,7.925,7.544,8.509,8.417,8.131,9.825,9.01,8.299,14.253,12.176,13.101,12.112,11.111,11.609,11.216,9.599,11.491,11.085,11.68,10.76,10.71,10.804,10.668,9.661,12.139,5.823,8.85,7.814,8.457,11.897,10.858,9.98,5.957,9.095,6.509,5.566,9.512,5.2,relaxed
14.506,13.711,13.57,11.949,12.844,13.59,11.826,9.371,9.86,5.445,6.314,6.263,5.554,4.715,4.249,2.679,10.402,7.538,9.08,10.292,8.297,8.612,9.008,8.037,6.327,6.178,6.526,7.47,7.12,10.214,9.455,8.242,7.651,7.084,8.122,8.197,7.833,9.758,8.92,8.262,14.14,12.018,12.907,11.886,10.967,11.586,11.2,9.502,11.547,11.05,11.74,10.822,10.742,10.806,10.664,9.644,12.671,5.635,8.908,7.691,8.228,11.776,10.877,10.134,5.844,8.869,6.4,5.488,9.43,5.276,relaxed
14.968,14.647,14.047,12.033,13.558,14.464,13.132,11.234,9.762,6.233,6.253,6.122,5.582,5.009,4.251,2.683,10.298,7.562,9.077,10.496,8.341,8.591,9.126,7.273,7.031,6.359,6.696,7.632,7.187,10.144,9.474,8.094,7.534,6.483,7.606,7.872,7.406,9.647,8.833,8.189,14.313,12.154,13.029,11.921,11.084,11.709,11.239,9.489,11.647,11.218,11.927,11.045,11.017,10.972,10.892,9.881,13.511,5.737,8.845,7.827,7.946,11.867,11.075,10.721,6.122,8.677,6.555,5.393,9.575,5.373,relaxed
15.026,14.825,14.206,12.035,13.955,14.924,14.047,12.531,10.256,7.581,6.711,6.034,6.059,5.509,5.232,3.271,10.155,7.7,9.015,10.563,8.353,8.481,9.426,6.607,7.821,6.415,6.973,7.884,7.245,10.177,9.476,7.967,8.261,6.233,7.43,7.685,7.09,9.55,8.751,8.154,14.422,12.228,13.167,11.997,11.189,11.769,11.32,9.567,11.664,11.227,11.947,11.081,11.035,10.963,10.886,9.881,13.944,6.332,8.788,7.995,7.894,11.957,11.086,11.206,6.77,8.664,6.844,5.646,9.64,5.397,relaxed
14.973,14.768,14.182,12.033,13.993,14.771,13.959,12.798,10.383,7.812,6.834,5.998,6.197,5.822,7.52,4.919,9.9,7.715,8.87,10.555,8.323,8.3,9.731,6.288,8.254,6.34,7.048,7.972,7.09,10.254,9.386,7.707,8.598,6.098,7.245,7.474,6.844,9.448,8.686,8.159,14.333,12.019,13.046,11.942,11.061,11.718,11.282,9.538,11.625,11.175,11.867,10.974,10.964,11.001,10.896,9.847,13.935,6.936,8.71,8.006,7.819,11.867,11.043,11.303,7.774,8.658,7.09,5.774,9.636,5.443,relaxed
15.274,15.376,14.417,12.126,14.238,14.798,14.128,12.995,10.617,8.092,7.023,6.021,6.016,5.865,8.064,5.171,9.893,7.537,8.875,10.57,8.278,8.081,10.028,6.262,8.272,6.238,6.906,7.831,6.739,10.333,9.254,7.34,9.611,6.83,7.815,7.558,6.925,9.47,8.645,8.171,14.102,11.38,12.567,11.581,10.416,11.381,10.888,9.115,11.013,10.566,11.215,10.38,10.469,10.617,10.565,9.507,14.169,7.109,8.691,7.864,8.128,11.429,10.541,11.34,8.167,8.863,7.184,6.186,9.545,5.164,relaxed
16.388,16.905,15.523,12.741,15.395,15.757,15.185,14.313,10.849,8.098,7.35,6.251,5.978,6.483,9.103,5.912,10.266,7.618,9.146,10.595,8.206,7.696,10.393,6.293,8.151,6.215,6.756,7.496,6.364,10.392,9.171,6.977,10.188,7.254,8.138,7.617,6.979,9.488,8.634,8.226,14.071,11.115,12.209,11.242,10.041,11.132,10.559,8.969,11.107,10.573,11.154,10.347,10.448,10.645,10.619,9.604,15.276,7.503,8.777,7.69,8.315,11.167,10.562,11.76,9.034,9.276,7.211,6.477,9.475,5.212,relaxed
17.411,18.148,16.556,13.24,16.396,16.606,15.937,15.414,11.266,8.646,8.537,7.675,7.551,7.616,9.542,7.826,10.605,7.723,9.442,10.599,8.28,7.559,10.813,6.388,8.027,6.076,6.493,6.93,5.9,10.374,9.097,6.67,10.478,7.67,8.339,7.54,6.966,9.485,8.624,8.229,14.16,11.103,12.219,11.26,10.027,11.074,10.516,9.027,11.108,10.7,11.228,10.379,10.608,10.826,10.85,9.768,16.214,8.582,8.926,7.446,8.416,11.173,10.683,12.33,9.429,9.507,7.193,6.737,9.512,5.386,relaxed
17.745,18.626,16.866,13.287,16.695,16.855,16.103,15.778,11.831,8.992,9.419,8.413,8.16,7.854,9.704,8.012,11.012,7.955,9.913,10.737,8.796,7.779,11.202,6.674,8.007,5.772,6.209,6.367,5.362,10.131,8.88,6.385,10.526,7.751,8.202,7.312,6.811,9.389,8.525,8.162,14.097,10.932,12.1,11.232,9.841,10.904,10.403,8.816,11.239,10.814,11.261,10.586,10.76,10.969,11.086,10.039,16.494,9.048,9.259,7.139,8.335,11.041,10.844,12.737,9.836,9.664,7.084,6.849,9.505,5.543,relaxed
17.742,18.706,16.865,13.354,16.708,16.852,16.091,15.819,12.032,9.433,10.006,8.965,9.135,9.137,10.543,9.001,11.256,8.184,10.199,10.871,9.202,7.971,11.375,6.889,8.074,5.592,6.102,5.982,5.012,9.704,8.603,6.195,10.486,7.735,8.104,7.208,6.673,9.231,8.279,7.968,13.955,10.637,11.873,11.188,9.538,10.734,10.132,8.53,11.141,10.637,11.099,10.532,10.641,10.836,11.016,10.041,16.517,9.782,9.494,6.908,8.211,10.823,10.743,12.898,10.14,9.717,6.876,6.847,9.483,5.474,relaxed
17.791,18.7,16.895,13.588,16.696,16.793,16.07,15.819,12.296,9.566,10.444,9.344,9.551,9.359,10.71,9.402,11.271,8.286,10.2,10.84,9.338,8.1,11.426,6.936,8.2,5.566,6.21,5.84,4.844,9.103,8.275,6.05,10.428,7.666,7.952,7.119,6.47,8.965,7.913,7.705,13.972,10.476,11.85,11.22,9.415,10.608,10.027,8.421,11.067,10.616,11.027,10.491,10.607,10.835,11.048,10.046,16.544,10.084,9.55,6.761,8.027,10.749,10.717,13.09,10.282,9.7,6.61,6.788,9.513,5.376,relaxed
17.892,18.712,16.946,13.747,16.679,16.722,16.072,15.837,12.238,9.548,10.391,9.281,9.559,9.43,10.838,9.446,11.191,8.407,10.054,10.647,9.315,8.3,11.404,6.88,8.313,5.623,6.351,5.851,4.724,8.486,7.82,5.76,10.409,7.663,7.915,7.067,6.347,8.707,7.684,7.523,13.965,10.456,11.862,11.239,9.432,10.587,9.987,8.275,11.165,10.691,11.102,10.571,10.679,10.824,11.033,10.036,16.576,10.091,9.525,6.616,7.914,10.725,10.763,13.53,10.33,9.728,6.375,6.69,9.47,5.3,relaxed
17.963,18.736,16.983,13.784,16.671,16.735,16.144,15.889,11.969,9.324,10.185,8.97,9.418,9.298,10.913,9.648,11.083,8.52,9.827,10.364,9.073,8.318,11.254,6.658,8.3,5.507,6.281,5.735,4.293,7.786,7.041,4.988,10.417,7.724,7.947,7.023,6.37,8.604,7.588,7.381,13.943,10.621,11.879,11.272,9.766,10.779,10.266,8.527,11.151,10.771,11.108,10.451,10.715,10.818,11.055,10.067,16.613,9.965,9.387,6.241,7.882,10.882,10.767,13.924,10.348,9.726,6.088,6.635,9.484,5.337,relaxed
17.954,18.755,16.973,13.718,16.639,16.78,16.211,15.927,11.973,9.428,10.225,8.954,9.288,9.145,10.783,9.641,10.851,8.512,9.518,10.034,8.677,8.072,11.011,6.385,8.238,5.255,6.106,5.537,3.77,7.058,6.131,4.033,10.446,7.87,8.085,7.047,6.555,8.556,7.61,7.237,13.952,10.767,11.965,11.195,9.979,10.885,10.463,8.738,11.151,10.749,11.105,10.327,10.656,10.707,10.945,10.027,16.62,9.93,9.133,5.766,7.926,10.993,10.709,14.227,10.223,9.63,5.774,6.602,9.513,5.22,relaxed
17.823,18.709,16.865,13.548,16.577,16.858,16.269,15.963,11.743,9.421,10.192,8.915,9.205,9.095,10.828,9.754,10.771,8.522,9.221,9.612,7.978,7.444,10.559,5.847,8.354,5.267,6.216,5.626,3.774,6.564,5.622,3.767,10.475,8.047,8.232,7.028,6.741,8.581,7.655,7.071,13.949,10.85,12.021,11.031,10.129,10.941,10.618,8.905,11.194,10.738,11.118,10.287,10.663,10.71,10.959,10.056,16.577,9.894,8.744,5.649,7.979,11.056,10.716,14.361,10.11,9.557,5.634,6.585,9.468,5.16,relaxed
17.659,18.59,16.674,13.267,16.432,16.849,16.251,15.947,11.722,9.482,10.256,8.965,9.158,9.068,10.8,9.741,11.198,8.912,9.395,9.356,7.358,6.762,9.984,5.174,8.74,5.807,6.774,6.006,4.45,6.407,5.619,4.125,10.494,8.111,8.245,6.979,6.712,8.588,7.572,6.836,13.72,11.022,12.022,10.734,10.281,11.06,10.747,8.987,10.893,10.682,10.992,10.119,10.657,10.747,10.948,10.053,16.459,9.899,8.517,5.991,7.942,11.072,10.636,14.427,9.984,9.516,5.748,6.576,9.302,5.043,relaxed
17.482,18.449,16.437,12.877,16.25,16.728,16.192,15.903,11.709,9.545,10.371,9.004,9.229,9.064,10.806,9.742,11.879,9.702,10.095,9.512,7.675,6.616,9.712,5.256,9.176,6.394,7.323,6.265,4.96,6.281,5.516,4.432,10.514,8.133,8.243,6.897,6.585,8.534,7.338,6.494,13.214,10.881,11.713,9.912,10.124,11.011,10.703,8.852,10.625,10.568,10.799,9.892,10.562,10.734,10.9,9.927,16.29,9.934,8.806,6.293,7.842,10.801,10.501,14.398,9.982,9.634,5.896,6.491,8.952,5.02,relaxed
17.364,18.357,16.277,12.668,16.13,16.58,16.145,15.883,11.816,9.584,10.51,9.09,9.32,9.061,10.816,9.736,12.427,10.486,10.814,9.86,8.381,6.597,9.702,5.806,9.307,6.533,7.439,6.049,4.924,5.902,5.047,4.423,10.393,8.054,8.023,6.202,6.205,8.376,6.868,5.981,12.684,10.656,11.46,9.184,10.008,10.901,10.59,8.827,10.491,10.558,10.816,9.835,10.63,10.87,10.994,9.958,16.176,9.992,9.259,6.203,7.513,10.539,10.519,14.333,10.043,9.799,5.976,6.389,8.57,4.916,relaxed
17.229,18.3,16.155,12.588,16.081,16.533,16.146,15.897,11.813,9.531,10.511,9.106,9.365,9.063,10.817,9.749,12.684,10.906,11.183,10.03,8.76,6.461,9.647,6.054,9.335,6.688,7.445,5.712,4.956,5.621,4.852,4.408,10.27,7.878,7.78,5.439,5.64,7.909,5.911,5.172,12.158,10.061,10.953,8.448,9.603,10.582,10.241,8.497,10.339,10.301,10.545,9.635,10.401,10.619,10.796,9.752,16.116,9.994,9.466,6.127,7.0,10.068,10.298,14.317,10.002,9.861,6.03,6.133,8.392,4.82,relaxed
17.146,18.29,16.109,12.603,16.083,16.678,16.201,15.933,11.724,9.49,10.513,9.101,9.416,9.012,10.829,9.754,12.749,11.064,11.35,10.046,8.965,6.404,9.623,6.235,9.296,6.878,7.387,5.51,5.071,5.691,5.012,4.464,10.172,7.835,7.546,4.116,4.96,7.279,4.376,3.93,11.769,9.557,10.587,8.321,9.511,10.564,10.346,8.615,10.179,10.187,10.469,9.567,10.417,10.571,10.826,9.762,16.13,9.98,9.555,6.164,6.277,9.909,10.247,14.488,9.97,9.833,6.064,5.76,8.227,4.717,relaxed
17.138,18.307,16.107,12.555,16.059,16.816,16.258,15.961,11.429,9.405,10.399,8.979,9.375,9.084,10.805,9.739,12.698,11.078,11.37,9.996,9.028,6.403,9.574,6.259,9.312,7.049,7.421,5.561,5.182,5.708,5.012,4.479,10.119,7.819,7.44,3.283,4.563,6.548,3.161,3.245,11.694,9.6,10.583,8.373,9.535,10.623,10.425,8.662,10.302,10.151,10.48,9.62,10.384,10.449,10.774,9.807,16.15,9.902,9.551,6.215,5.772,9.937,10.246,14.684,9.91,9.806,6.058,5.303,8.223,4.661,relaxed
16.955,18.293,15.997,12.061,15.899,16.8,16.297,15.984,11.419,9.42,10.414,9.049,9.368,9.113,10.737,9.714,12.679,11.02,11.385,10.011,9.064,6.545,9.502,6.191,9.424,7.259,7.617,5.799,5.387,5.681,4.938,4.541,10.077,7.774,7.321,2.515,4.188,5.778,2.192,2.754,11.79,10.097,10.893,8.639,9.953,10.988,10.604,8.852,10.287,10.217,10.475,9.615,10.38,10.435,10.713,9.755,16.036,9.904,9.55,6.331,5.325,10.227,10.235,14.737,9.907,9.832,6.08,4.867,8.219,4.527,relaxed
16.584,18.239,15.714,11.148,15.66,16.778,16.348,16.004,10.989,9.243,10.397,8.916,9.262,9.168,10.671,9.698,12.653,10.895,11.349,10.014,9.07,6.695,9.418,6.04,9.541,7.416,7.792,6.076,5.575,5.667,4.861,4.648,10.124,7.806,7.386,2.467,4.289,5.411,2.238,3.1,11.749,10.398,11.07,8.902,10.228,11.265,10.733,8.982,10.207,10.206,10.444,9.599,10.386,10.397,10.68,9.764,15.809,9.793,9.517,6.447,5.353,10.416,10.21,14.665,10.032,9.819,6.096,4.678,8.246,4.548,relaxed
